,Ex,filename,filepath,gtpath,LCDP
a3710-07-11-20-at-16h52m05s-_MG_5742,-1,a3710-07-11-20-at-16h52m05s-_MG_5742.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3710-07-11-20-at-16h52m05s-_MG_5742.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3710-07-11-20-at-16h52m05s-_MG_5742.png,LCDP
a3633-JI2E3892,-1,a3633-JI2E3892.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3633-JI2E3892.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3633-JI2E3892.png,LCDP
r809eb0e3t,-1,r809eb0e3t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r809eb0e3t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r809eb0e3t.png,LCDP
a4902-_DGW0251,-1,a4902-_DGW0251.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4902-_DGW0251.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4902-_DGW0251.png,LCDP
r386fd4cft,-1,r386fd4cft.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r386fd4cft.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r386fd4cft.png,LCDP
a1715-LSYD4O0733,1,a1715-LSYD4O0733.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1715-LSYD4O0733.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1715-LSYD4O0733.png,LCDP
a4380-kme_0739,-1,a4380-kme_0739.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4380-kme_0739.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4380-kme_0739.png,LCDP
a4536-DSC_0255,-1,a4536-DSC_0255.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4536-DSC_0255.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4536-DSC_0255.png,LCDP
a4206-DSC_0022,-1,a4206-DSC_0022.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4206-DSC_0022.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4206-DSC_0022.png,LCDP
r78045dadt,1,r78045dadt.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r78045dadt.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r78045dadt.png,LCDP
r5190f771t,-1,r5190f771t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r5190f771t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r5190f771t.png,LCDP
r27c26492t,-1,r27c26492t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r27c26492t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r27c26492t.png,LCDP
r3ae3f859t,-1,r3ae3f859t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r3ae3f859t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r3ae3f859t.png,LCDP
a1039-IMG_3952,-1,a1039-IMG_3952.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1039-IMG_3952.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1039-IMG_3952.png,LCDP
a3688-jmac_MG_1424,-1,a3688-jmac_MG_1424.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3688-jmac_MG_1424.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3688-jmac_MG_1424.png,LCDP
a4777-MB_040516_042,-1,a4777-MB_040516_042.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4777-MB_040516_042.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4777-MB_040516_042.png,LCDP
rdc3bdbaat,-1,rdc3bdbaat.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/rdc3bdbaat.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/rdc3bdbaat.png,LCDP
a4776-DSC_0062-2,-1,a4776-DSC_0062-2.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4776-DSC_0062-2.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4776-DSC_0062-2.png,LCDP
a4946-kme_0694,-1,a4946-kme_0694.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4946-kme_0694.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4946-kme_0694.png,LCDP
a2131-LSYD4O1320,1,a2131-LSYD4O1320.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2131-LSYD4O1320.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2131-LSYD4O1320.png,LCDP
r1be2a3d5t,1,r1be2a3d5t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r1be2a3d5t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r1be2a3d5t.png,LCDP
ra7144b14t,-1,ra7144b14t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/ra7144b14t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/ra7144b14t.png,LCDP
r3882d629t,-1,r3882d629t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r3882d629t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r3882d629t.png,LCDP
a2349-07-11-20-at-08h06m58s-_MG_5505,-1,a2349-07-11-20-at-08h06m58s-_MG_5505.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2349-07-11-20-at-08h06m58s-_MG_5505.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2349-07-11-20-at-08h06m58s-_MG_5505.png,LCDP
r51106a7et,1,r51106a7et.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r51106a7et.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r51106a7et.png,LCDP
a3930-IMG_5083,-1,a3930-IMG_5083.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3930-IMG_5083.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3930-IMG_5083.png,LCDP
r50c29302t,-1,r50c29302t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r50c29302t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r50c29302t.png,LCDP
rd70a5962t,-1,rd70a5962t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/rd70a5962t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/rd70a5962t.png,LCDP
a1335-07-11-26-at-14h48m48s-_MG_7086,-1,a1335-07-11-26-at-14h48m48s-_MG_7086.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1335-07-11-26-at-14h48m48s-_MG_7086.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1335-07-11-26-at-14h48m48s-_MG_7086.png,LCDP
a2423-jn_2007_05_07__422,-1,a2423-jn_2007_05_07__422.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2423-jn_2007_05_07__422.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2423-jn_2007_05_07__422.png,LCDP
a3552-MB_080629_691,-1,a3552-MB_080629_691.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3552-MB_080629_691.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3552-MB_080629_691.png,LCDP
a4827-DSC_0092,-1,a4827-DSC_0092.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4827-DSC_0092.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4827-DSC_0092.png,LCDP
r8b88bf35t,1,r8b88bf35t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r8b88bf35t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r8b88bf35t.png,LCDP
a0046-dgw_101,-1,a0046-dgw_101.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0046-dgw_101.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0046-dgw_101.png,LCDP
a3091-_DGW6408,-1,a3091-_DGW6408.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3091-_DGW6408.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3091-_DGW6408.png,LCDP
a1924-IMG_0226,-1,a1924-IMG_0226.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1924-IMG_0226.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1924-IMG_0226.png,LCDP
r77ac536bt,-1,r77ac536bt.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r77ac536bt.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r77ac536bt.png,LCDP
raa8a16b4t,-1,raa8a16b4t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/raa8a16b4t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/raa8a16b4t.png,LCDP
r9b4b80f1t,1,r9b4b80f1t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r9b4b80f1t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r9b4b80f1t.png,LCDP
a1276-_DSC6183,-1,a1276-_DSC6183.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1276-_DSC6183.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1276-_DSC6183.png,LCDP
r4defaba0t,1,r4defaba0t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r4defaba0t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r4defaba0t.png,LCDP
radfe9c0et,-1,radfe9c0et.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/radfe9c0et.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/radfe9c0et.png,LCDP
r695a861ft,1,r695a861ft.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r695a861ft.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r695a861ft.png,LCDP
a3798-IMG_2539,-1,a3798-IMG_2539.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3798-IMG_2539.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3798-IMG_2539.png,LCDP
a4107-dvf_018,-1,a4107-dvf_018.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4107-dvf_018.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4107-dvf_018.png,LCDP
r9b66ff32t,-1,r9b66ff32t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r9b66ff32t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r9b66ff32t.png,LCDP
a3100-jn_20080524_014,1,a3100-jn_20080524_014.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3100-jn_20080524_014.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3100-jn_20080524_014.png,LCDP
a1424-kme_185,1,a1424-kme_185.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1424-kme_185.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1424-kme_185.png,LCDP
r9083c1d2t,-1,r9083c1d2t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r9083c1d2t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r9083c1d2t.png,LCDP
a3721-KE_-01,-1,a3721-KE_-01.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3721-KE_-01.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3721-KE_-01.png,LCDP
r4f2895f7t,1,r4f2895f7t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r4f2895f7t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r4f2895f7t.png,LCDP
rd3740777t,1,rd3740777t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/rd3740777t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/rd3740777t.png,LCDP
a4190-dgw_050,-1,a4190-dgw_050.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4190-dgw_050.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4190-dgw_050.png,LCDP
rfddbf076t,1,rfddbf076t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/rfddbf076t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/rfddbf076t.png,LCDP
r243bf26bt,-1,r243bf26bt.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r243bf26bt.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r243bf26bt.png,LCDP
a1657-050818_154112__I2E7371,-1,a1657-050818_154112__I2E7371.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1657-050818_154112__I2E7371.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1657-050818_154112__I2E7371.png,LCDP
a0630-jmac_DSC3294,-1,a0630-jmac_DSC3294.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0630-jmac_DSC3294.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0630-jmac_DSC3294.png,LCDP
a0775-kme_423,-1,a0775-kme_423.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0775-kme_423.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0775-kme_423.png,LCDP
a4628-Duggan_090428_8108,1,a4628-Duggan_090428_8108.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4628-Duggan_090428_8108.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4628-Duggan_090428_8108.png,LCDP
r75e1c33et,1,r75e1c33et.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r75e1c33et.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r75e1c33et.png,LCDP
r7c040b15t,1,r7c040b15t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r7c040b15t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r7c040b15t.png,LCDP
r980ce9e5t,-1,r980ce9e5t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r980ce9e5t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r980ce9e5t.png,LCDP
rbee53831t,-1,rbee53831t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/rbee53831t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/rbee53831t.png,LCDP
a4720-DSC_0022,-1,a4720-DSC_0022.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4720-DSC_0022.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4720-DSC_0022.png,LCDP
a1976-_DSC4492,-1,a1976-_DSC4492.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1976-_DSC4492.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1976-_DSC4492.png,LCDP
a2969-MB_060909_061,-1,a2969-MB_060909_061.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2969-MB_060909_061.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2969-MB_060909_061.png,LCDP
a0588-dgw_118,-1,a0588-dgw_118.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0588-dgw_118.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0588-dgw_118.png,LCDP
a1362-IMG_0221,-1,a1362-IMG_0221.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1362-IMG_0221.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1362-IMG_0221.png,LCDP
a0343-tc_DSC4155,1,a0343-tc_DSC4155.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0343-tc_DSC4155.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0343-tc_DSC4155.png,LCDP
rf502270bt,-1,rf502270bt.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/rf502270bt.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/rf502270bt.png,LCDP
a2646-050801_143748__I2E5549,-1,a2646-050801_143748__I2E5549.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2646-050801_143748__I2E5549.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2646-050801_143748__I2E5549.png,LCDP
a4001-jn_20070824_0168,-1,a4001-jn_20070824_0168.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4001-jn_20070824_0168.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4001-jn_20070824_0168.png,LCDP
a2079-jmac_DSC3894,1,a2079-jmac_DSC3894.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2079-jmac_DSC3894.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2079-jmac_DSC3894.png,LCDP
r1f40decct,1,r1f40decct.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r1f40decct.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r1f40decct.png,LCDP
a4141-WP_CRW_0723,-1,a4141-WP_CRW_0723.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4141-WP_CRW_0723.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4141-WP_CRW_0723.png,LCDP
a2543-kme_590,-1,a2543-kme_590.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2543-kme_590.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2543-kme_590.png,LCDP
a0356-07-11-26-at-16h05m54s-_MG_7171,-1,a0356-07-11-26-at-16h05m54s-_MG_7171.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0356-07-11-26-at-16h05m54s-_MG_7171.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0356-07-11-26-at-16h05m54s-_MG_7171.png,LCDP
r9883b889t,-1,r9883b889t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r9883b889t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r9883b889t.png,LCDP
rb8c8d505t,-1,rb8c8d505t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/rb8c8d505t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/rb8c8d505t.png,LCDP
re6ad045dt,1,re6ad045dt.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/re6ad045dt.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/re6ad045dt.png,LCDP
a3252-07-12-01-at-16h06m04s-_MG_8716,-1,a3252-07-12-01-at-16h06m04s-_MG_8716.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3252-07-12-01-at-16h06m04s-_MG_8716.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3252-07-12-01-at-16h06m04s-_MG_8716.png,LCDP
a1719-kme_283,-1,a1719-kme_283.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1719-kme_283.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1719-kme_283.png,LCDP
a4603-Duggan_050714_1956,-1,a4603-Duggan_050714_1956.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4603-Duggan_050714_1956.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4603-Duggan_050714_1956.png,LCDP
a1757-dvf_023,-1,a1757-dvf_023.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1757-dvf_023.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1757-dvf_023.png,LCDP
r84e8453et,1,r84e8453et.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r84e8453et.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r84e8453et.png,LCDP
a3334-_DSC0034,-1,a3334-_DSC0034.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3334-_DSC0034.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3334-_DSC0034.png,LCDP
r62e299bft,-1,r62e299bft.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r62e299bft.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r62e299bft.png,LCDP
rf3f31519t,1,rf3f31519t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/rf3f31519t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/rf3f31519t.png,LCDP
a0571-jmac_DSC5611,-1,a0571-jmac_DSC5611.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0571-jmac_DSC5611.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0571-jmac_DSC5611.png,LCDP
a3695-_I2E6087,-1,a3695-_I2E6087.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3695-_I2E6087.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3695-_I2E6087.png,LCDP
a3918-kme_422,-1,a3918-kme_422.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3918-kme_422.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3918-kme_422.png,LCDP
a1755-NKIM_MG_2646,-1,a1755-NKIM_MG_2646.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1755-NKIM_MG_2646.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1755-NKIM_MG_2646.png,LCDP
a4137-jmacDSC_0305,-1,a4137-jmacDSC_0305.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4137-jmacDSC_0305.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4137-jmacDSC_0305.png,LCDP
r40221b1ct,-1,r40221b1ct.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r40221b1ct.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r40221b1ct.png,LCDP
a4439-_DSC0012-3,-1,a4439-_DSC0012-3.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4439-_DSC0012-3.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4439-_DSC0012-3.png,LCDP
a1288-_DSC2938,1,a1288-_DSC2938.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a1288-_DSC2938.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a1288-_DSC2938.png,LCDP
a3719-07-11-29-at-15h43m28s-_MG_8075,-1,a3719-07-11-29-at-15h43m28s-_MG_8075.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a3719-07-11-29-at-15h43m28s-_MG_8075.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a3719-07-11-29-at-15h43m28s-_MG_8075.png,LCDP
r9493fd95t,-1,r9493fd95t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r9493fd95t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r9493fd95t.png,LCDP
r01a31693t,-1,r01a31693t.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/r01a31693t.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/r01a31693t.png,LCDP
a2417-20060207_192034__MG_2638,-1,a2417-20060207_192034__MG_2638.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a2417-20060207_192034__MG_2638.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a2417-20060207_192034__MG_2638.png,LCDP
a4691-20090503_at_05h29m47__MG_9401,1,a4691-20090503_at_05h29m47__MG_9401.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4691-20090503_at_05h29m47__MG_9401.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4691-20090503_at_05h29m47__MG_9401.png,LCDP
a0411-07-11-21-at-13h12m13s-_MG_5935,-1,a0411-07-11-21-at-13h12m13s-_MG_5935.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a0411-07-11-21-at-13h12m13s-_MG_5935.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a0411-07-11-21-at-13h12m13s-_MG_5935.png,LCDP
a4140-NKIM_MG_8343,-1,a4140-NKIM_MG_8343.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4140-NKIM_MG_8343.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4140-NKIM_MG_8343.png,LCDP
a4901-DSC_0234,-1,a4901-DSC_0234.png,/home/daehyun/Lowlight_models/data/LCDP/train-input/a4901-DSC_0234.png,/home/daehyun/Lowlight_models/data/LCDP/train-gt/a4901-DSC_0234.png,LCDP
