,Ex,filename,filepath,gtpath,SICEV2
30,1,30.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/30.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/30.JPG,SICEV2
102,-1,102.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/102.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/102.JPG,SICEV2
102,1,102.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/102.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/102.JPG,SICEV2
519,-1,519.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/519.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/519.JPG,SICEV2
519,1,519.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/519.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/519.JPG,SICEV2
354,-1,354.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/354.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/354.JPG,SICEV2
354,1,354.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/354.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/354.JPG,SICEV2
54,-1,54.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/54.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/54.JPG,SICEV2
54,1,54.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/54.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/54.JPG,SICEV2
103,-1,103.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/103.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/103.JPG,SICEV2
103,1,103.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/103.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/103.JPG,SICEV2
286,-1,286.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/286.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/286.JPG,SICEV2
286,1,286.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/286.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/286.JPG,SICEV2
56,-1,56.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/56.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/56.JPG,SICEV2
56,1,56.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/56.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/56.JPG,SICEV2
126,-1,126.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/126.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/126.JPG,SICEV2
126,1,126.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/126.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/126.JPG,SICEV2
494,-1,494.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/494.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/494.JPG,SICEV2
494,1,494.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/494.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/494.JPG,SICEV2
347,-1,347.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/347.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/347.JPG,SICEV2
347,1,347.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/347.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/347.JPG,SICEV2
387,-1,387.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/387.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/387.JPG,SICEV2
387,1,387.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/387.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/387.JPG,SICEV2
483,-1,483.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/483.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/483.JPG,SICEV2
483,1,483.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/483.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/483.JPG,SICEV2
139,-1,139.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/139.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/139.JPG,SICEV2
139,1,139.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/139.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/139.JPG,SICEV2
178,-1,178.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/178.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/178.JPG,SICEV2
178,1,178.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/178.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/178.JPG,SICEV2
128,-1,128.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/128.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/128.JPG,SICEV2
128,1,128.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/128.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/128.JPG,SICEV2
19,-1,19.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/19.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/19.JPG,SICEV2
19,1,19.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/19.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/19.JPG,SICEV2
505,-1,505.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/505.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/505.JPG,SICEV2
505,1,505.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/505.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/505.JPG,SICEV2
68,-1,68.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/68.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/68.JPG,SICEV2
68,1,68.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/68.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/68.JPG,SICEV2
186,-1,186.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/186.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/186.JPG,SICEV2
186,1,186.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/186.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/186.JPG,SICEV2
419,-1,419.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/419.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/419.JPG,SICEV2
419,1,419.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/419.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/419.JPG,SICEV2
141,-1,141.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/141.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/141.JPG,SICEV2
141,1,141.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/141.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/141.JPG,SICEV2
214,-1,214.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/214.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/214.JPG,SICEV2
214,1,214.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/214.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/214.JPG,SICEV2
228,-1,228.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/228.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/228.JPG,SICEV2
228,1,228.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/228.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/228.JPG,SICEV2
582,-1,582.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/582.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/582.JPG,SICEV2
582,1,582.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/582.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/582.JPG,SICEV2
20,-1,20.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/20.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/20.JPG,SICEV2
20,1,20.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/20.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/20.JPG,SICEV2
543,-1,543.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/543.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/543.JPG,SICEV2
543,1,543.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/543.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/543.JPG,SICEV2
140,-1,140.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/140.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/140.JPG,SICEV2
140,1,140.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/140.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/140.JPG,SICEV2
371,-1,371.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/371.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/371.JPG,SICEV2
371,1,371.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/371.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/371.JPG,SICEV2
255,-1,255.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/255.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/255.JPG,SICEV2
255,1,255.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/255.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/255.JPG,SICEV2
118,-1,118.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/118.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/118.JPG,SICEV2
118,1,118.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/118.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/118.JPG,SICEV2
384,-1,384.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/384.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/384.JPG,SICEV2
384,1,384.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/384.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/384.JPG,SICEV2
277,-1,277.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/277.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/277.JPG,SICEV2
277,1,277.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/277.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/277.JPG,SICEV2
17,-1,17.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/17.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/17.JPG,SICEV2
17,1,17.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/17.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/17.JPG,SICEV2
111,-1,111.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/111.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/111.JPG,SICEV2
111,1,111.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/111.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/111.JPG,SICEV2
520,-1,520.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/520.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/520.JPG,SICEV2
520,1,520.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/520.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/520.JPG,SICEV2
47,-1,47.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/47.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/47.JPG,SICEV2
47,1,47.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/47.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/47.JPG,SICEV2
94,-1,94.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/94.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/94.JPG,SICEV2
94,1,94.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/94.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/94.JPG,SICEV2
27,-1,27.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/27.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/27.JPG,SICEV2
27,1,27.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/27.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/27.JPG,SICEV2
355,-1,355.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/355.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/355.JPG,SICEV2
355,1,355.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/355.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/355.JPG,SICEV2
135,-1,135.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/135.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/135.JPG,SICEV2
135,1,135.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/135.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/135.JPG,SICEV2
460,-1,460.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/460.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/460.JPG,SICEV2
460,1,460.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/460.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/460.JPG,SICEV2
367,-1,367.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/367.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/367.JPG,SICEV2
367,1,367.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/367.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/367.JPG,SICEV2
167,-1,167.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/167.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/167.JPG,SICEV2
167,1,167.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/167.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/167.JPG,SICEV2
132,-1,132.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/132.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/132.JPG,SICEV2
132,1,132.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/132.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/132.JPG,SICEV2
66,-1,66.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/66.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/66.JPG,SICEV2
66,1,66.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/66.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/66.JPG,SICEV2
433,-1,433.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/433.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/433.JPG,SICEV2
433,1,433.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/433.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/433.JPG,SICEV2
306,-1,306.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/306.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/306.JPG,SICEV2
306,1,306.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/306.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/306.JPG,SICEV2
229,-1,229.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/229.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/229.JPG,SICEV2
229,1,229.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/229.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/229.JPG,SICEV2
276,-1,276.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/276.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/276.JPG,SICEV2
276,1,276.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/276.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/276.JPG,SICEV2
431,-1,431.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/431.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/431.JPG,SICEV2
431,1,431.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/431.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/431.JPG,SICEV2
336,-1,336.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/336.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/336.JPG,SICEV2
336,1,336.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/336.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/336.JPG,SICEV2
216,-1,216.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/216.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/216.JPG,SICEV2
216,1,216.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/216.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/216.JPG,SICEV2
164,-1,164.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/164.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/164.JPG,SICEV2
164,1,164.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/164.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/164.JPG,SICEV2
557,-1,557.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/557.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/557.JPG,SICEV2
557,1,557.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/557.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/557.JPG,SICEV2
281,-1,281.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/281.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/281.JPG,SICEV2
281,1,281.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/281.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/281.JPG,SICEV2
448,-1,448.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/448.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/448.JPG,SICEV2
448,1,448.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/448.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/448.JPG,SICEV2
35,-1,35.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/35.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/35.JPG,SICEV2
35,1,35.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/35.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/35.JPG,SICEV2
137,-1,137.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/137.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/137.JPG,SICEV2
137,1,137.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/137.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/137.JPG,SICEV2
156,-1,156.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/156.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/156.JPG,SICEV2
156,1,156.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/156.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/156.JPG,SICEV2
297,-1,297.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/297.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/297.JPG,SICEV2
297,1,297.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/297.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/297.JPG,SICEV2
415,-1,415.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/415.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/415.JPG,SICEV2
415,1,415.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/415.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/415.JPG,SICEV2
469,-1,469.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/469.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/469.JPG,SICEV2
469,1,469.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/469.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/469.JPG,SICEV2
309,-1,309.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/309.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/309.JPG,SICEV2
309,1,309.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/309.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/309.JPG,SICEV2
187,-1,187.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/187.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/187.JPG,SICEV2
187,1,187.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/187.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/187.JPG,SICEV2
459,-1,459.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/459.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/459.JPG,SICEV2
459,1,459.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/459.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/459.JPG,SICEV2
376,-1,376.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/376.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/376.JPG,SICEV2
376,1,376.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/376.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/376.JPG,SICEV2
401,-1,401.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/401.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/401.JPG,SICEV2
401,1,401.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/401.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/401.JPG,SICEV2
530,-1,530.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/530.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/530.JPG,SICEV2
530,1,530.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/530.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/530.JPG,SICEV2
451,-1,451.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/451.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/451.JPG,SICEV2
451,1,451.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/451.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/451.JPG,SICEV2
455,-1,455.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/455.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/455.JPG,SICEV2
455,1,455.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/455.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/455.JPG,SICEV2
230,-1,230.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/230.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/230.JPG,SICEV2
230,1,230.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/230.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/230.JPG,SICEV2
572,-1,572.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/572.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/572.JPG,SICEV2
572,1,572.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/572.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/572.JPG,SICEV2
554,-1,554.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/554.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/554.JPG,SICEV2
554,1,554.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/554.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/554.JPG,SICEV2
289,-1,289.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/289.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/289.JPG,SICEV2
289,1,289.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/over/289.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/289.JPG,SICEV2
146,-1,146.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/low/146.JPG,/home/daehyun/Lowlight_models/data/SICEV2/train/gt/146.JPG,SICEV2
