,Ex,filename,filepath,gtpath,MSEC
13,1,a1055-IMG_4473_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1055-IMG_4473_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1055-IMG_4473.jpg,MSEC
14,1,a1055-IMG_4473_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1055-IMG_4473_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1055-IMG_4473.jpg,MSEC
15,0,a1896-kme_558_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1896-kme_558_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1896-kme_558.jpg,MSEC
16,-1,a1896-kme_558_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1896-kme_558_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1896-kme_558.jpg,MSEC
17,-1,a1896-kme_558_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1896-kme_558_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1896-kme_558.jpg,MSEC
18,1,a1896-kme_558_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1896-kme_558_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1896-kme_558.jpg,MSEC
19,1,a1896-kme_558_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1896-kme_558_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1896-kme_558.jpg,MSEC
20,0,a2467-jmacDSC_0043_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2467-jmacDSC_0043_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2467-jmacDSC_0043.jpg,MSEC
21,-1,a2467-jmacDSC_0043_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2467-jmacDSC_0043_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2467-jmacDSC_0043.jpg,MSEC
22,-1,a2467-jmacDSC_0043_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2467-jmacDSC_0043_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2467-jmacDSC_0043.jpg,MSEC
23,1,a2467-jmacDSC_0043_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2467-jmacDSC_0043_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2467-jmacDSC_0043.jpg,MSEC
24,1,a2467-jmacDSC_0043_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2467-jmacDSC_0043_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2467-jmacDSC_0043.jpg,MSEC
25,0,a1684-kme_299_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1684-kme_299_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1684-kme_299.jpg,MSEC
26,-1,a1684-kme_299_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1684-kme_299_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1684-kme_299.jpg,MSEC
27,-1,a1684-kme_299_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1684-kme_299_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1684-kme_299.jpg,MSEC
28,1,a1684-kme_299_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1684-kme_299_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1684-kme_299.jpg,MSEC
29,1,a1684-kme_299_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1684-kme_299_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1684-kme_299.jpg,MSEC
30,0,a3417-kme_415_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a3417-kme_415_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a3417-kme_415.jpg,MSEC
31,-1,a3417-kme_415_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a3417-kme_415_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a3417-kme_415.jpg,MSEC
32,-1,a3417-kme_415_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a3417-kme_415_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a3417-kme_415.jpg,MSEC
33,1,a3417-kme_415_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a3417-kme_415_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a3417-kme_415.jpg,MSEC
34,1,a3417-kme_415_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a3417-kme_415_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a3417-kme_415.jpg,MSEC
35,0,a2312-IMG_4734_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2312-IMG_4734_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2312-IMG_4734.jpg,MSEC
36,-1,a2312-IMG_4734_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2312-IMG_4734_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2312-IMG_4734.jpg,MSEC
37,-1,a2312-IMG_4734_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2312-IMG_4734_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2312-IMG_4734.jpg,MSEC
38,1,a2312-IMG_4734_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2312-IMG_4734_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2312-IMG_4734.jpg,MSEC
39,1,a2312-IMG_4734_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2312-IMG_4734_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2312-IMG_4734.jpg,MSEC
40,0,a2556-IMG_0071_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2556-IMG_0071_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2556-IMG_0071.jpg,MSEC
41,-1,a2556-IMG_0071_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2556-IMG_0071_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2556-IMG_0071.jpg,MSEC
42,-1,a2556-IMG_0071_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2556-IMG_0071_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2556-IMG_0071.jpg,MSEC
43,1,a2556-IMG_0071_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2556-IMG_0071_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2556-IMG_0071.jpg,MSEC
44,1,a2556-IMG_0071_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2556-IMG_0071_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2556-IMG_0071.jpg,MSEC
45,0,a2169-NKIM_MG_6869_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2169-NKIM_MG_6869_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2169-NKIM_MG_6869.jpg,MSEC
46,-1,a2169-NKIM_MG_6869_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2169-NKIM_MG_6869_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2169-NKIM_MG_6869.jpg,MSEC
47,-1,a2169-NKIM_MG_6869_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2169-NKIM_MG_6869_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2169-NKIM_MG_6869.jpg,MSEC
48,1,a2169-NKIM_MG_6869_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2169-NKIM_MG_6869_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2169-NKIM_MG_6869.jpg,MSEC
49,1,a2169-NKIM_MG_6869_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2169-NKIM_MG_6869_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2169-NKIM_MG_6869.jpg,MSEC
50,0,a1677-_DSC0031_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1677-_DSC0031_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1677-_DSC0031.jpg,MSEC
51,-1,a1677-_DSC0031_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1677-_DSC0031_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1677-_DSC0031.jpg,MSEC
52,-1,a1677-_DSC0031_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1677-_DSC0031_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1677-_DSC0031.jpg,MSEC
53,1,a1677-_DSC0031_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1677-_DSC0031_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1677-_DSC0031.jpg,MSEC
54,1,a1677-_DSC0031_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1677-_DSC0031_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1677-_DSC0031.jpg,MSEC
55,0,a2146-IMG_4970_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2146-IMG_4970_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2146-IMG_4970.jpg,MSEC
56,-1,a2146-IMG_4970_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2146-IMG_4970_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2146-IMG_4970.jpg,MSEC
57,-1,a2146-IMG_4970_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2146-IMG_4970_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2146-IMG_4970.jpg,MSEC
58,1,a2146-IMG_4970_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2146-IMG_4970_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2146-IMG_4970.jpg,MSEC
59,1,a2146-IMG_4970_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2146-IMG_4970_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2146-IMG_4970.jpg,MSEC
60,0,a1402-Ja_Pe-90_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1402-Ja_Pe-90_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1402-Ja_Pe-90.jpg,MSEC
61,-1,a1402-Ja_Pe-90_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1402-Ja_Pe-90_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1402-Ja_Pe-90.jpg,MSEC
62,-1,a1402-Ja_Pe-90_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1402-Ja_Pe-90_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1402-Ja_Pe-90.jpg,MSEC
63,1,a1402-Ja_Pe-90_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1402-Ja_Pe-90_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1402-Ja_Pe-90.jpg,MSEC
64,1,a1402-Ja_Pe-90_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1402-Ja_Pe-90_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1402-Ja_Pe-90.jpg,MSEC
65,0,a2058-dgw_157_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2058-dgw_157_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2058-dgw_157.jpg,MSEC
66,-1,a2058-dgw_157_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2058-dgw_157_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2058-dgw_157.jpg,MSEC
67,-1,a2058-dgw_157_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2058-dgw_157_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2058-dgw_157.jpg,MSEC
68,1,a2058-dgw_157_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2058-dgw_157_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2058-dgw_157.jpg,MSEC
69,1,a2058-dgw_157_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2058-dgw_157_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2058-dgw_157.jpg,MSEC
70,0,a2989-jmac_MG_5969_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2989-jmac_MG_5969_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2989-jmac_MG_5969.jpg,MSEC
71,-1,a2989-jmac_MG_5969_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2989-jmac_MG_5969_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2989-jmac_MG_5969.jpg,MSEC
72,-1,a2989-jmac_MG_5969_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2989-jmac_MG_5969_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2989-jmac_MG_5969.jpg,MSEC
73,1,a2989-jmac_MG_5969_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2989-jmac_MG_5969_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2989-jmac_MG_5969.jpg,MSEC
74,1,a2989-jmac_MG_5969_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2989-jmac_MG_5969_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2989-jmac_MG_5969.jpg,MSEC
75,0,a2121-jn_20080509_189_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2121-jn_20080509_189_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2121-jn_20080509_189.jpg,MSEC
76,-1,a2121-jn_20080509_189_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2121-jn_20080509_189_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2121-jn_20080509_189.jpg,MSEC
77,-1,a2121-jn_20080509_189_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2121-jn_20080509_189_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2121-jn_20080509_189.jpg,MSEC
78,1,a2121-jn_20080509_189_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2121-jn_20080509_189_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2121-jn_20080509_189.jpg,MSEC
79,1,a2121-jn_20080509_189_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2121-jn_20080509_189_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2121-jn_20080509_189.jpg,MSEC
80,0,a1124-IMG_4242_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1124-IMG_4242_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1124-IMG_4242.jpg,MSEC
81,-1,a1124-IMG_4242_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1124-IMG_4242_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1124-IMG_4242.jpg,MSEC
82,-1,a1124-IMG_4242_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1124-IMG_4242_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1124-IMG_4242.jpg,MSEC
83,1,a1124-IMG_4242_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1124-IMG_4242_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1124-IMG_4242.jpg,MSEC
84,1,a1124-IMG_4242_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a1124-IMG_4242_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a1124-IMG_4242.jpg,MSEC
85,0,a2900-MB_070908_087_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2900-MB_070908_087_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2900-MB_070908_087.jpg,MSEC
86,-1,a2900-MB_070908_087_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2900-MB_070908_087_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2900-MB_070908_087.jpg,MSEC
87,-1,a2900-MB_070908_087_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2900-MB_070908_087_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2900-MB_070908_087.jpg,MSEC
88,1,a2900-MB_070908_087_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2900-MB_070908_087_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2900-MB_070908_087.jpg,MSEC
89,1,a2900-MB_070908_087_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2900-MB_070908_087_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2900-MB_070908_087.jpg,MSEC
90,0,a4210-kme_0540_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a4210-kme_0540_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a4210-kme_0540.jpg,MSEC
91,-1,a4210-kme_0540_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a4210-kme_0540_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a4210-kme_0540.jpg,MSEC
92,-1,a4210-kme_0540_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a4210-kme_0540_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a4210-kme_0540.jpg,MSEC
93,1,a4210-kme_0540_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a4210-kme_0540_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a4210-kme_0540.jpg,MSEC
94,1,a4210-kme_0540_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a4210-kme_0540_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a4210-kme_0540.jpg,MSEC
95,0,a0585-jmacdscf0551_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0585-jmacdscf0551_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0585-jmacdscf0551.jpg,MSEC
96,-1,a0585-jmacdscf0551_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0585-jmacdscf0551_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0585-jmacdscf0551.jpg,MSEC
97,-1,a0585-jmacdscf0551_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0585-jmacdscf0551_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0585-jmacdscf0551.jpg,MSEC
98,1,a0585-jmacdscf0551_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0585-jmacdscf0551_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0585-jmacdscf0551.jpg,MSEC
99,1,a0585-jmacdscf0551_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0585-jmacdscf0551_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0585-jmacdscf0551.jpg,MSEC
100,0,a0492-20061222_123303__E6B6057_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0492-20061222_123303__E6B6057_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0492-20061222_123303__E6B6057.jpg,MSEC
101,-1,a0492-20061222_123303__E6B6057_N1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0492-20061222_123303__E6B6057_N1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0492-20061222_123303__E6B6057.jpg,MSEC
102,-1,a0492-20061222_123303__E6B6057_N1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0492-20061222_123303__E6B6057_N1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0492-20061222_123303__E6B6057.jpg,MSEC
103,1,a0492-20061222_123303__E6B6057_P1,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0492-20061222_123303__E6B6057_P1.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0492-20061222_123303__E6B6057.jpg,MSEC
104,1,a0492-20061222_123303__E6B6057_P1.5,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a0492-20061222_123303__E6B6057_P1.5.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a0492-20061222_123303__E6B6057.jpg,MSEC
105,0,a2068-jmac_DSC2420_0,/home/daehyun/Lowlight_models/data/MSEC/training/INPUT_IMAGES/a2068-jmac_DSC2420_0.JPG,/home/daehyun/Lowlight_models/data/MSEC/training/GT_IMAGES/a2068-jmac_DSC2420.jpg,MSEC
